element	ion_stage	wavelength_vacuum_nm	wavelength_kind	intensity	gA_s-1	Ei_eV	Ek_eV	g_i	g_k	tp_ref	line_ref	quantitative_ready
Th	1	481.506574420	ritz_air	1600		1.2156410810	3.7905633140	11	13		L18702	0
Th	1	481.524169085	ritz_air	2400		0.9664909590	3.5413191070	9	9		L18702	0
Th	1	481.589656446	ritz_air	16		2.5940125800	5.1684906000	5	7		L3552	0
Th	1	481.599740120	ritz_air	25		2.6132338080	5.1876579200	11	13		L5951	0
Th	1	481.602635888	ritz_air	53		2.4197971740	4.9942058100	5	7		L5951	0
Th	1	481.626682263	ritz_air	110		1.7639009300	4.3381810300	1	3		L5951	0
Th	1	481.639522667	ritz_air	51		1.7289977590	4.3032092300	7	7		L5951	0
Th	1	481.668377317	ritz_air	13		2.7140305370	5.2880878000	7	7		L12239	0
Th	1	481.680944649	ritz_air	79		2.1698692680	4.7438593700	11	11		L18702	0
Th	1	481.690167094	ritz_air	12		2.4570174140	5.0309582400	3	5		L12239	0
Th	1	481.790450681	ritz_air	8		2.2127555990	4.7861606600	5	5		L3552	0
Th	1	481.817858948	ritz_air	63		2.4180816130	4.9913402900	7	9		L5951	0
Th	1	481.836670935	ritz_air	400		1.3937969360	3.9669551460	7	9		L5951	0
Th	1	481.879035167	ritz_air	47		2.2331265490	4.8060585400	11	11		L5951	0
Th	1	481.894330222	ritz_air	21		2.7696823690	5.3425327000	7	9		L12239	0
Th	1	481.925823572	ritz_air	8		2.7452090910	5.3178912800	7	9		L12239	0
Th	1	481.945077677	ritz_air	29		2.2331265490	4.8057059600	11	9		L12239	0
Th	1	481.950132017	ritz_air	6		2.7155353660	5.2880878000	9	7		L12239	0
Th	1	481.964222753	ritz_air	60		1.9511353680	4.5236125900	3	5		L5951	0
Th	1	482.053989553	ritz_air	690		0.9026202420	3.4746184200	5	3		L5951	0
Th	1	482.085623940	ritz_air	110		1.5929451530	4.1647745600	7	7		L5951	0
Th	1	482.092189681	ritz_air	250		1.7397568530	4.3115512300	5	3		L5951	0
Th	1	482.103021553	ritz_air	64		2.1517009540	4.7234375500	3	5		L18702	0
Th	1	482.178544577	ritz_air	52		2.0267262500	4.5980600400	9	9		L5951	0
Th	1	482.181195280	ritz_air	590		1.3051251700	3.8764448200	7	7		L5951	0
Th	1	482.185433404	ritz_air	65		2.9861523160	5.5574493700	13	11		L5951	0
Th	1	482.213456834	ritz_air	16		2.4217109980	4.9928586200	9	9		L3552	0
Th	1	482.214494109	ritz_air	110		2.0809318270	4.6520739200	9	7		L12239	0
Th	1	482.223160406	ritz_air	1700		0.0000000000	2.5710958890	5	3		L18702	0
Th	1	482.273574773	ritz_air	350		1.7955230000	4.3663501200	13	11		L5951	0
Th	1	482.293522062	ritz_air	1900		0.3557427977	2.9264635890	7	5		L18702	0
Th	1	482.297280059	ritz_air	37		2.5063318890	5.0770326500	7	7		L5951	0
Th	1	482.321205402	ritz_air	150		0.4572521355	3.0278253770	5	7		L5951	0
Th	1	482.420253664	ritz_air	7400		0.6151672932	3.1852127580	9	11		L18702	0
