element	ion_stage	wavelength_vacuum_nm	gA_s-1	Ei_eV	Ek_eV	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	kurucz_ref	nist_match	nist_gA
Th	2	300.915322850	240163263.225	1.3107660780	5.4310015300	5f.6d.(3H*).7s	*	4.5	5f2.6d+5f.6d.7p		3.5	10	8	MC	1	0
Th	2	300.937352341	180485807.558	0.7703746220	4.8903084700	6d2.(3F).7s	4F	4.5	6d2.(3F).7p	*	4.5	10	10	MC	1	0
Th	2	301.064559051	12108097.0424	0.0000000000	4.1181930800	6d.7s2	2D	1.5	5f.(2F*).6d2.(1G)	*	1.5	4	4	MC	1	0
Th	2	301.248026790	62740327.3509	0.8307172240	4.9464022200	5f.6d.(3H*).7s	*	4.5	5f.6d.(3G*).7p		4.5	10	10	MC	1	0
Th	2	301.358539345	84183725.4699	0.7703746220	4.8845503300	6d2.(3F).7s	4F	4.5	6d2.(1G).7p	*	3.5	10	8	MC	1	0
Th	2	301.447729586	503467332.207	1.6428537520	5.7558121900	6d2.(1D).7s		2.5	6d.7s.(3D).7p	*	1.5	6	4	MC	1	0
Th	2	301.580380667	88021529.0201	1.1234336590	5.2345830000	6d2.(3P).7s	4P	2.5	6d2.(3F).7p	*	2.5	6	6	MC	1	0
Th	2	301.660373617	193802221.073	1.1409354570	5.2509946200	5f.6d.(1G*).7s	2G*	3.5	5f2.6d+5f.6d.7p		2.5	8	6	MC	1	0
Th	2	301.801105720	292383998.105	1.3233004990	5.4314431200	5f.6d.(3F*).7s	*	2.5	5f.6d.(3F*).7p		1.5	6	4	MC	1	0
Th	2	301.936914598	780841235.009	1.6426306130	5.7489254100	6d3	4F	4.5	6d2.(1G).7p	2G*	4.5	10	10	MC	1	0
Th	2	302.030121851	196922160.705	1.0388461350	5.1438737200	5f.7s2	2F*	3.5	5f2.6d+5f.6d.7p		3.5	8	8	MC	1	0
Th	2	302.236869437	299709278.027	1.6699392420	5.7721587500	5f.6d.(3G*).7s	4G*	4.5	5f.6d.(3G*).7p		5.5	10	12	MC	1	0
Th	2	302.297558581	145387045.286	0.9089883420	5.0103842900	5f.6d.(3F*).7s	4F*	2.5	5f.6d.(1D*).7p		3.5	6	8	MC	1	0
Th	2	302.745617412	384803790.755	1.2051633260	5.3004892700	5f.6d.(3F*).7s	4F*	3.5	5f2.6d+5f.6d.7p		3.5	8	8	MC	1	0
Th	2	302.945882410	141144832.54	0.8296262910	4.9222449900	5f.6d.(3F*).7s	4F*	1.5	5f.6d.(3H*).7p		2.5	4	6	MC	1	0
Th	2	303.174709548	88513402.8668	1.1453685480	5.2348982600	5f.6d.(1G*).7s	*	4.5	5f2.6d+5f.6d.7p		3.5	10	8	MC	1	0
