element	ion_stage	wavelength_vacuum_nm	gA_s-1	Ei_eV	Ek_eV	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	kurucz_ref	nist_match	nist_gA
Se	1	196.090200000	1021481354.17	0.0000000000	6.3228134356	4p4 3P		2	5s  3S		1	5	3	CB	1	0
Se	1	204.050618185	1244357962.17	0.2466653209	6.3228145514	4p4 3P		1	5s  3S		1	3	3	CB	1	0
Se	1	206.344745015	473405206.435	0.3142193507	6.3228145514	4p4 3P		0	5s  3S		1	1	3	CB	0	0
Se	1	207.545572694	56259032.0413	0.0000000000	5.9738301558	4p4 3P		2	5s  5S		2	5	5	CB	1	0
Se	1	216.484444521	142416885.585	0.2466653209	5.9738301558	4p4 3P		1	5s  5S		2	3	5	MULT	1	0
Se	1	892.125171438	1635042628.49	5.9738301558	7.3635925814	5s  5S		2	5p  5P		3	5	7	CB	1	0
Se	1	900.436920353	82314064.5727	5.9738301558	7.3507639365	5s  5S		2	5p  5P		2	5	5	GUES	0	0
Se	1	904.102712308	81647910.9368	5.9738301558	7.3451809281	5s  5S		2	5p  5P		1	5	3	GUES	0	0
Th	1	261.240695494	106003431.131	0.0000000000	4.7459756700	6d2.7s2	3F	2	*	*	1	5	3	MC	1	0
Th	1	269.185528388	79487059.0847	0.0000000000	4.6059013200	6d2.7s2	3F	2	*	*	2	5	5	MC	1	0
Th	1	286.930260037	67428628.071	0.0000000000	4.3210569000	6d2.7s2	3F	2	*	*	2	5	5	MC	1	0
Th	1	291.722371741	137232501.02	0.3171586159	4.5672337000	6d2.7s2	3P	0	*	*	1	1	3	MC	1	0
Th	1	294.712309876	95851628.0256	0.3557427977	4.5626996900	6d2.7s2	3F	3	*	*	4	7	9	MC	1	0
Th	1	297.068873681	64073932.9272	0.0000000000	4.1735842800	6d2.7s2	3F	2	*	*	1	5	3	MC	1	0
Th	1	298.097988456	109819037.47	0.4572521355	4.6164280800	6d2.7s2		2	*	*	2	5	5	MC	1	0
Th	1	298.854380597	107269532.666	0.4572521355	4.6059013200	6d2.7s2		2	*	*	2	5	5	MC	1	0
Th	1	303.136989129	195037034.609	0.6151672932	4.7052058700	6d2.7s2	3F	4	*	*	4	9	9	MC	1	0
Th	1	303.207859827	289010874.549	0.4572521355	4.5463347300	6d2.7s2		2	*	*	2	5	5	MC	1	0
Th	1	306.132855145	94313696.5872	0.0000000000	4.0500128000	6d2.7s2	3F	2	*	*	1	5	3	MC	1	0
Th	1	306.979925248	238327679.184	0.0000000000	4.0388373400	6d2.7s2	3F	2	6d3.7p	5G*	2	5	5	MC	1	0
Th	1	310.586834928	83758321.4191	0.0000000000	3.9919334700	6d2.7s2	3F	2	*	*	3	5	7	MC	1	0
Th	1	312.178556927	97406469.8242	0.3171586159	4.2887382000	6d2.7s2	3P	0	*	*	1	1	3	MC	1	0
Th	1	313.712467827	368409050.101	0.6151672932	4.5673276600	6d2.7s2	3F	4	*	*	5	9	11	MC	1	0
Th	1	313.773798265	45410944.3857	0.0000000000	3.9513878700	6d2.7s2	3F	2	*	*	2	5	5	MC	1	0
Th	1	314.118167962	202398686.051	0.3557427977	4.3027987400	6d2.7s2	3F	3	*	*	3	7	7	MC	1	0
Th	1	314.654794103	44434982.505	0.0000000000	3.9403244600	6d2.7s2	3F	2	*	*	3	5	7	MC	1	0
Th	1	317.219290610	45779826.3301	0.0000000000	3.9084696900	6d2.7s2	3F	2	*	*	3	5	7	MC	1	0
Th	1	317.434463905	102349375.614	0.3557427977	4.2615631200	6d2.7s2	3F	3	*	*	2	7	5	MC	1	0
Th	1	317.916254506	156231291.97	0.3557427977	4.2556439900	6d2.7s2	3F	3	*	*	2	7	5	MC	1	0
Th	1	318.258955024	181063935.825	0.6151672932	4.5108690800	6d2.7s2	3F	4	*	*	4	9	9	MC	1	0
Th	1	319.350837811	176139602.847	0.6151672932	4.4975494100	6d2.7s2	3F	4	*	*	5	9	11	MC	1	0
Th	1	319.661270255	43153219.9599	0.0000000000	3.8786118200	6d2.7s2	3F	2	*	*	3	5	7	MC	1	0
Th	1	321.212186394	93284424.1902	0.3557427977	4.2156274300	6d2.7s2	3F	3	*	*	4	7	9	MC	1	0
Th	1	321.500293282	84923954.5072	0.3171586159	4.1735842800	6d2.7s2	3P	0	*	*	1	1	3	MC	1	0
Th	1	321.530847013	167088972.385	0.6151672932	4.4712265000	6d2.7s2	3F	4	*	*	4	9	9	MC	1	0
Th	1	323.305783351	177486745.344	0.3557427977	4.1906323800	6d2.7s2	3F	3	*	*	4	7	9	MC	1	0
Th	1	323.323903941	28715559.7083	0.0000000000	3.8346746700	6d2.7s2	3F	2	*	*	1	5	3	MC	1	0
Th	1	323.592977102	111018339.289	0.4572521355	4.2887382000	6d2.7s2		2	*	*	1	5	3	MC	1	0
Th	1	323.986873904	87365109.5056	0.3557427977	4.1825706200	6d2.7s2	3F	3	*	*	2	7	5	MC	1	0
Th	1	324.157981265	86871897.1114	0.3557427977	4.1805506200	6d2.7s2	3F	3	*	*	2	7	5	MC	1	0
Th	1	324.538472703	76711472.4382	0.0000000000	3.8203235800	6d2.7s2	3F	2	*	*	2	5	5	MC	1	0
Th	1	325.079371835	68772369.2912	0.0000000000	3.8139669500	6d2.7s2	3F	2	*	*	3	5	7	MC	1	0
Th	1	325.285370072	543079719.259	0.4572521355	4.2688037600	6d2.7s2		2	*	*	3	5	7	MC	1	0
Th	1	325.830594363	273154800.889	0.3557427977	4.1609164200	6d2.7s2	3F	3	*	*	4	7	9	MC	1	0
Th	1	326.000054353	578039137.037	0.9026202420	4.7058158700	6d2.7s2		2	*	*	3	5	7	MC	1	0
Th	1	327.296965511	71863516.5571	0.0000000000	3.7881255000	6d2.7s2	3F	2	*	*	2	5	5	MC	1	0
Th	1	328.669876227	184872647.504	0.3557427977	4.1280446500	6d2.7s2	3F	3	*	*	3	7	7	MC	1	0
Th	1	329.899936891	137286474.193	0.6151672932	4.3734037900	6d2.7s2	3F	4	6d3.7p	5G*	5	9	11	MC	1	0
Th	1	330.260153494	593854283.935	0.6151672932	4.3693046600	6d2.7s2	3F	4	*	*	3	9	7	MC	1	0
Th	1	330.518952318	291071430.054	0.0000000000	3.7511978500	6d2.7s2	3F	2	*	*	3	5	7	MC	1	0
Th	1	330.625503421	99019197.9199	0.4792576672	4.2292466200	6d2.7s2	3P	1	*	*	1	3	3	MC	1	0
Th	1	331.031785782	77920706.8525	0.0000000000	3.7453865000	6d2.7s2	3F	2	*	*	2	5	5	MC	1	0
Th	1	331.402355076	636327948.616	1.3051251700	5.0463236300	5f.6d.7s2	3G*	3			4	7	9	MC	1	0
Th	1	331.459973740	433041981.757	0.6151672932	4.3557154200	6d2.7s2	3F	4	*	*	4	9	9	MC	1	0
Th	1	332.304899818	65965772.142	0.3171586159	4.0481959400	6d2.7s2	3P	0	*	*	1	1	3	MC	1	0
Th	1	332.815029720	211829399.56	0.4572521355	4.1825706200	6d2.7s2		2	*	*	2	5	5	MC	1	0
Th	1	333.068599304	284004163.072	0.9664909590	4.6889733000	5f.6d.7s2	3H*	4			4	9	9	MC	1	0
Th	1	333.143476377	142931958.6	0.0000000000	3.7216456800	6d2.7s2	3F	2	*	*	3	5	7	MC	1	0
Th	1	333.408739951	216989129.762	0.3557427977	4.0744275000	6d2.7s2	3F	3	*	*	4	7	9	MC	1	0
Th	1	334.973091654	169969931.934	0.0000000000	3.7013181500	6d2.7s2	3F	2	*	*	2	5	5	MC	1	0
Th	1	336.630507434	154555634.962	0.3557427977	4.0388373400	6d2.7s2	3F	3	6d3.7p	5G*	2	7	5	MC	1	0
Th	1	337.446131618	151699047.291	0.3557427977	4.0299351100	6d2.7s2	3F	3	*	*	2	7	5	MC	1	0
Th	1	337.594401473	525534343.364	0.6151672932	4.2877459200	6d2.7s2	3F	4	*	*	3	9	7	MC	1	0
Th	1	338.183018780	149309728.255	0.3557427977	4.0219291900	6d2.7s2	3F	3	*	*	4	7	9	MC	1	0
Th	1	338.889294190	499201554.665	0.9664909590	4.6250367000	5f.6d.7s2	3H*	4			4	9	9	MC	1	0
Th	1	339.043610617	643991933.675	1.0056363970	4.6625169400	6d2.7s2	1G	4	*	*	4	9	9	MC	1	0
Th	1	339.770250310	294456184.322	0.4792576672	4.1283175300	6d2.7s2	3P	1	*	*	2	3	5	MC	1	0
Th	1	339.951991765	276411541.507	0.3557427977	4.0028518400	6d2.7s2	3F	3	*	*	3	7	7	MC	1	0
Th	1	340.653525121	274641182.428	0.4572521355	4.0968504100	6d2.7s2		2	*	*	3	5	7	MC	1	0
Th	1	340.880740225	304920328.442	0.9664909590	4.6036632500	5f.6d.7s2	3H*	4			3	9	7	MC	1	0
Th	1	340.972763759	270365903.382	0.3557427977	3.9919334700	6d2.7s2	3F	3	*	*	3	7	7	MC	1	0
Th	1	341.399190828	267834388.614	0.3557427977	3.9873916600	6d2.7s2	3F	3	*	*	2	7	5	MC	1	0
Th	1	341.686418306	94001706.9931	0.4572521355	4.0858481700	6d2.7s2		2	*	*	2	5	5	MC	1	0
Th	1	342.219096601	740939515.368	0.6151672932	4.2381152700	6d2.7s2	3F	4	*	*	5	9	11	MC	1	0
Th	1	342.497129755	125914935.475	0.0000000000	3.6200069300	6d2.7s2	3F	2	*	*	1	5	3	MC	1	0
Th	1	342.998216016	190023584.261	0.3171586159	3.9318770700	6d2.7s2	3P	0	*	*	1	1	3	MC	1	0
Th	1	343.571145703	1117783705.55	1.2911884280	4.8998790800	5f.6d.7s2	1G*	4			4	9	9	MC	1	0
Th	1	343.771210935	364629794.562	0.4792576672	4.0858481700	6d2.7s2	3P	1	*	*	2	3	5	MC	1	0
Th	1	343.829211789	346501865.822	0.3557427977	3.9617248900	6d2.7s2	3F	3	*	*	4	7	9	MC	1	0
Th	1	344.038438374	89366983.9559	0.4572521355	4.0610412600	6d2.7s2		2	*	*	3	5	7	MC	1	0
Th	1	344.356535852	200158663.327	0.6151672932	4.2156274300	6d2.7s2	3F	4	*	*	4	9	9	MC	1	0
Th	1	345.450117054	3807327920.74	1.9205248840	5.5095871600	5f.6d.7s2	3G*	5			6	11	13	MC	1	0
Th	1	346.200967123	86245115.1874	0.0000000000	3.5812782170	6d2.7s2	3F	2	*	*	3	5	7	MC	1	0
Th	1	346.220835616	471720300.224	0.6151672932	4.1962399900	6d2.7s2	3F	4	*	*	5	9	11	MC	1	0
Th	1	346.605472238	306704361.71	1.0220763970	4.5991750900	5f.6d.7s2	3F*	2			2	5	5	MC	1	0
Th	1	346.753117099	225086807.478	0.6151672932	4.1907428900	6d2.7s2	3F	4	*	*	3	9	7	MC	1	0
Th	1	346.762677551	1128044515.02	1.2911882935	4.8666647874	f7s2 z1G		4			5	9	11	MC	0	0
Th	1	347.033865100	204008021.468	0.4572521355	4.0299351100	6d2.7s2		2	*	*	2	5	5	MC	1	0
Th	1	347.221228156	213883948.975	0.4792576672	4.0500128000	6d2.7s2	3P	1	*	*	1	3	3	MC	1	0
Th	1	347.295315159	230140496.93	0.9026202420	4.4726136400	6d2.7s2		2	*	*	3	5	7	MC	1	0
Th	1	348.104844845	286398511.044	1.0056363970	4.5673276600	6d2.7s2	1G	4	*	*	5	9	11	MC	1	0
Th	1	348.754873666	122842933.228	0.0000000000	3.5550527800	6d2.7s2	3F	2	*	*	2	5	5	MC	1	0
Th	1	349.669967593	211872169.402	0.6151672932	4.1609164200	6d2.7s2	3F	4	*	*	4	9	9	MC	1	0
Th	1	349.781096129	28105926.3055	0.0000000000	3.5446226120	6d2.7s2	3F	2	*	*	3	5	7	MC	1	0
Th	1	349.962190633	531310532.504	1.0220763970	4.5648647700	5f.6d.7s2	3F*	2			2	5	5	MC	1	0
Th	1	349.995766256	430789403.349	0.9301651190	4.4726136400	6d3.(4F).7s	5F	3	*	*	3	7	7	MC	1	0
Th	1	350.286832010	133518955.778	0.6897416420	4.2292466200	6d3.(4F).7s	5F	1	*	*	1	3	3	MC	1	0
Th	1	350.478799318	215807769.718	0.9026202420	4.4401865200	6d2.7s2		2	*	*	3	5	7	MC	1	0
Th	1	351.009241587	164722701.424	0.7888365657	4.3210569000	6d3.(4F).7s	5F	2	*	*	2	5	5	MC	1	0
Th	1	351.216141747	121406439.89	0.4572521355	3.9873916600	6d2.7s2		2	*	*	2	5	5	MC	1	0
Th	1	351.940982022	120906823.384	0.3557427977	3.8786118200	6d2.7s2	3F	3	*	*	3	7	7	MC	1	0
Th	1	352.206591295	75647680.7794	0.4572521355	3.9774644500	6d2.7s2		2	*	*	1	5	3	MC	1	0
Th	1	352.764205651	26449742.1205	0.0000000000	3.5146479210	6d2.7s2	3F	2	*	*	2	5	5	MC	1	0
Th	1	353.152369463	406879772.949	1.0056363970	4.5164212300	6d2.7s2	1G	4	*	*	3	9	7	MC	1	0
Th	1	353.245966533	212439905.299	0.6151672932	4.1250219000	6d2.7s2	3F	4	*	*	4	9	9	MC	1	0
Th	1	354.350986778	154355814.955	0.7888365657	4.2877459200	6d3.(4F).7s	5F	2	*	*	3	5	7	MC	1	0
Th	1	354.503018895	787318369.702	1.0910919079	4.5885007200	6d3.(4F).7s	5F	4	*	*	5	9	11	MC	1	0
Th	1	354.835094346	143660483.899	0.4572521355	3.9513878700	6d2.7s2		2	*	*	2	5	5	MC	1	0
Th	1	355.060958472	605040393.566	1.0056363970	4.4975494100	6d2.7s2	1G	4	*	*	5	9	11	MC	1	0
Th	1	355.241624971	113329390.384	0.3557427977	3.8458799200	6d2.7s2	3F	3	*	*	4	7	9	MC	1	0
Th	1	355.602878959	160494382.475	0.3557427977	3.8423343200	6d2.7s2	3F	3	*	*	3	7	7	MC	1	0
Th	1	355.672000753	471293035.346	1.2911884280	4.7771023600	5f.6d.7s2	1G*	4			3	9	7	MC	1	0
Th	1	356.279790235	148527816.565	0.7888365657	4.2688037600	6d3.(4F).7s	5F	2	*	*	3	5	7	MC	1	0
Th	1	356.439290306	910791911.325	1.3882549450	4.8666649100	5f.6d.7s2	3H*	5			5	11	11	MC	1	0
Th	1	356.828241473	59356969.5929	0.0000000000	3.4746184200	6d2.7s2	3F	2	*	*	1	5	3	MC	1	0
Th	1	357.083954335	144827017.056	0.4792576672	3.9513878700	6d2.7s2	3P	1	*	*	2	3	5	MC	1	0
Th	1	358.412466619	192142695.84	0.6151672932	4.0744275000	6d2.7s2	3F	4	*	*	4	9	9	MC	1	0
Th	1	358.519843292	83437985.4824	0.3557427977	3.8139669500	6d2.7s2	3F	3	*	*	3	7	7	MC	1	0
Th	1	359.077379999	472078057.002	0.9301651190	4.3830197200	6d3.(4F).7s	5F	3	*	*	4	7	9	MC	1	0
Th	1	359.247703907	132008558.785	0.4572521355	3.9084696900	6d2.7s2		2	*	*	3	5	7	MC	1	0
Th	1	359.380452130	1074685069.56	1.0910919079	4.5410346500	6d3.(4F).7s	5F	4	*	*	5	9	11	MC	1	0
Th	1	359.664343324	236916403.235	1.0220763970	4.4692960200	5f.6d.7s2	3F*	2			2	5	5	MC	1	0
Th	1	359.914641864	88713749.6534	0.0000000000	3.4448222940	6d2.7s2	3F	2	*	*	2	5	5	MC	1	0
Th	1	360.509356238	189041429.447	0.9301651190	4.3693046600	6d3.(4F).7s	5F	3	*	*	3	7	7	MC	1	0
Th	1	360.570870104	106269478.089	0.4792576672	3.9178104800	6d2.7s2	3P	1	*	*	2	3	5	MC	1	0
Th	1	360.622187341	933866815.585	1.6335058670	5.0715693700	5f.6d.7s2	3G*	4			5	9	11	MC	1	0
Th	1	361.345757001	64053676.6751	0.0000000000	3.4311790300	6d2.7s2	3F	2	*	*	2	5	5	MC	1	0
Th	1	361.389678634	22409827.5457	0.0000000000	3.4307620160	6d2.7s2	3F	2	*	*	3	5	7	MC	1	0
Th	1	361.538409709	434591362.184	1.3051251700	4.7344758300	5f.6d.7s2	3G*	3			4	7	9	MC	1	0
Th	1	361.939505211	289146510.07	0.9301651190	4.3557154200	6d3.(4F).7s	5F	3	*	*	4	7	9	MC	1	0
Th	1	362.332064524	920823232.855	1.3369408730	4.7587798500	6d.7s2.7p	3F*	2			3	5	7	MC	1	0
Th	1	362.336724727	211429332.145	0.6897416420	4.1115366100	6d3.(4F).7s	5F	1	*	*	1	3	3	MC	1	0
Th	1	362.382823626	97736032.018	0.4572521355	3.8786118200	6d2.7s2		2	*	*	3	5	7	MC	1	0
Th	1	362.692688610	486757054.764	0.9026202420	4.3210569000	6d2.7s2		2	*	*	2	5	5	MC	1	0
Th	1	363.386588757	1029560973.5	1.3937969360	4.8057059600	5f.6d.7s2	3F*	3			4	7	9	MC	1	0
Th	1	363.561809001	664099693.212	0.9664909590	4.3767556000	5f.6d.7s2	3H*	4	5f.6d2.7p	5K	5	9	11	MC	1	0
Th	1	363.935613533	67973662.9457	0.6151672932	4.0219291900	6d2.7s2	3F	4	*	*	4	9	9	MC	1	0
Th	1	363.968133932	255424815.729	1.0910919079	4.4975494100	6d3.(4F).7s	5F	4	*	*	5	9	11	MC	1	0
Th	1	364.328674053	93843232.0827	0.0000000000	3.4030864700	6d2.7s2	3F	2	*	*	2	5	5	MC	1	0
Th	1	364.455062700	200033076.326	0.7888365657	4.1907428900	6d3.(4F).7s	5F	2	*	*	3	5	7	MC	1	0
Th	1	365.077471493	244129104.355	0.6897416420	4.0858481700	6d3.(4F).7s	5F	1	*	*	2	3	5	MC	1	0
Th	1	366.266434752	45477355.7439	0.4572521355	3.8423343200	6d2.7s2		2	*	*	3	5	7	MC	1	0
Th	1	366.424586632	144019230.864	0.3557427977	3.7393639500	6d2.7s2	3F	3	*	*	4	7	9	MC	1	0
Th	1	366.802548341	450323802.745	1.0910919079	4.4712265000	6d3.(4F).7s	5F	4	*	*	4	9	9	MC	1	0
Th	1	367.101351595	793994384.463	1.0056363970	4.3830197200	6d2.7s2	1G	4	*	*	4	9	9	MC	1	0
Th	1	367.258517233	172760994.111	0.7888365657	4.1647745600	6d3.(4F).7s	5F	2	6d3.7p	5G*	3	5	7	MC	1	0
Th	1	369.292664403	449415462.745	0.9664909590	4.3238335300	5f.6d.7s2	3H*	4			3	9	7	MC	1	0
Th	1	369.361727274	132887976.815	0.4572521355	3.8139669500	6d2.7s2		2	*	*	3	5	7	MC	1	0
Th	1	369.915847676	781958152.504	1.2156410810	4.5673276600	6d3.(4F).7s	5F	5	*	*	5	11	11	MC	1	0
Th	1	370.202017746	52301217.3034	0.6897415719	4.0388371795	7s  a5F		1	*		2	3	5	MC	0	0
Th	1	370.482786425	93293903.5932	0.6151672932	3.9617248900	6d2.7s2	3F	4	*	*	4	9	9	MC	1	0
Th	1	370.591558583	51593875.432	0.3557427977	3.7013181500	6d2.7s2	3F	3	*	*	2	7	5	MC	1	0
Th	1	370.782170930	901886002.259	1.0056363970	4.3494918500	6d2.7s2	1G	4	*	*	5	9	11	MC	1	0
Th	1	371.267869686	136462872.234	0.7888365657	4.1283175300	6d3.(4F).7s	5F	2	*	*	2	5	5	MC	1	0
Th	1	372.049251944	155306014.739	0.0000000000	3.3324673450	6d2.7s2	3F	2	6d2.7s.7p	3G*	3	5	7	MC	1	0
Th	1	372.896275462	64152415.828	0.3557427977	3.6806405300	6d2.7s2	3F	3	*	*	3	7	7	MC	1	0
Th	1	373.142915365	202133658.108	0.7888365657	4.1115366100	6d3.(4F).7s	5F	2	*	*	1	5	3	MC	1	0
Th	1	373.404666189	250628083.311	1.3051251700	4.6254960600	5f.6d.7s2	3G*	3	6d4		3	7	7	MC	1	0
Th	1	373.473393998	126435752.233	1.0056363970	4.3253962600	6d2.7s2	1G	4	*	*	5	9	11	MC	1	0
Th	1	373.857491537	75853745.6487	0.4792576672	3.7956068400	6d2.7s2	3P	1	*	*	0	3	1	MC	1	0
Th	1	374.398731821	153716482.114	0.6151672932	3.9267222700	6d2.7s2	3F	4	*	*	4	9	9	MC	1	0
Th	1	375.208785827	9973394.54248	0.0000000000	3.3044055160	6d2.7s2	3F	2	*	*	2	5	5	MC	1	0
Th	1	375.219112504	59404473.2729	1.3937969360	4.6981115100	5f.6d.7s2	3F*	3	5f.6d2.7p	5I	4	7	9	MC	1	0
Th	1	375.430849406	78402351.2821	0.9664909590	4.2689419500	5f.6d.7s2	3H*	4			3	9	7	MC	1	0
Th	1	375.509745864	139362687.662	1.0220763970	4.3238335300	5f.6d.7s2	3F*	2			3	5	7	MC	1	0
Th	1	375.627923510	756612134.779	1.3882549450	4.6889733000	5f.6d.7s2	3H*	5			4	11	9	MC	1	0
Th	1	375.736149575	121513091.272	1.0056363970	4.3054040200	6d2.7s2	1G	4	*	*	3	9	7	MC	1	0
Th	1	375.876207897	671891891.259	1.3051251700	4.6036632500	5f.6d.7s2	3G*	3			3	7	7	MC	1	0
Th	1	375.953501943	65784070.0438	0.3171586159	3.6150185300	6d2.7s2	3P	0	*	*	1	1	3	MC	1	0
Th	1	376.033040571	314729196.546	1.0056363970	4.3027987400	6d2.7s2	1G	4	*	*	3	9	7	MC	1	0
Th	1	376.253776822	194279621.457	1.2156410810	4.5108690800	6d3.(4F).7s	5F	5	*	*	4	11	9	MC	1	0
Th	1	376.400247813	352443293.668	0.4572521355	3.7511978500	6d2.7s2		2	*	*	3	5	7	MC	1	0
Th	1	376.630975663	320299967.777	1.0910919079	4.3830197200	6d3.(4F).7s	5F	4	*	*	4	9	9	MC	1	0
Th	1	377.112686630	208183650.715	0.6897416420	3.9774644500	6d3.(4F).7s	5F	1	*	*	1	3	3	MC	1	0
Th	1	377.244203553	48099848.4507	0.0000000000	3.2865766280	6d2.7s2	3F	2	*	*	3	5	7	MC	1	0
Th	1	377.734361937	242669902.512	1.0910919079	4.3734037900	6d3.(4F).7s	5F	4	6d3.7p	5G*	5	9	11	MC	1	0
Th	1	377.848954674	49402890.7071	0.9301651190	4.2114815500	6d3.(4F).7s	5F	3	*	*	3	7	7	MC	1	0
Th	1	378.203986812	26603371.457	0.3557427977	3.6339789490	6d2.7s2	3F	3	*	*	4	7	9	MC	1	0
Th	1	378.239266969	46116420.3061	0.9026202420	4.1805506200	6d2.7s2		2	*	*	2	5	5	MC	1	0
Th	1	379.187135014	419451376.795	0.9664909590	4.2362273700	5f.6d.7s2	3H*	4			3	9	7	MC	1	0
Th	1	379.345086022	482302931.469	1.2911884280	4.5595634000	5f.6d.7s2	1G*	4			3	9	7	MC	1	0
Th	1	379.577562382	523344646.195	1.6335058670	4.8998790800	5f.6d.7s2	3G*	4			4	9	9	MC	1	0
Th	1	379.781000206	151817675.347	1.0910919079	4.3557154200	6d3.(4F).7s	5F	4	*	*	4	9	9	MC	1	0
Th	1	379.918203834	51287144.2582	0.6151672932	3.8786118200	6d2.7s2	3F	4	*	*	3	9	7	MC	1	0
Th	1	380.252234579	246743236.287	0.9301651190	4.1907428900	6d3.(4F).7s	5F	3	*	*	3	7	7	MC	1	0
Th	1	380.415459970	134546511.574	0.0000000000	3.2591787500	6d2.7s2	3F	2	6d2.7s.7p	3D*	1	5	3	MC	1	0
Th	1	380.506385585	231560702.984	1.0910919079	4.3494918500	6d3.(4F).7s	5F	4	*	*	5	9	11	MC	1	0
Th	1	380.969585899	241884519.979	1.3051251700	4.5595634000	5f.6d.7s2	3G*	3			3	7	7	MC	1	0
Th	1	381.207688751	186666104.577	0.9301651190	4.1825706200	6d3.(4F).7s	5F	3	*	*	2	7	5	MC	1	0
Th	1	381.347892174	496301953.063	1.9205248840	5.1717346300	5f.6d.7s2	3G*	5			5	11	11	MC	1	0
Th	1	381.858121738	250371324.085	1.0220763970	4.2689419500	5f.6d.7s2	3F*	2			3	5	7	MC	1	0
Th	1	381.976902602	45010550.4891	0.6151672932	3.8610231900	6d2.7s2	3F	4	*	*	5	9	11	MC	1	0
Th	1	382.745454329	119555214.718	1.3051251700	4.5444634000	5f.6d.7s2	3G*	3			2	7	5	MC	1	0
Th	1	382.947075732	98199892.1013	0.0000000000	3.2376327180	6d2.7s2	3F	2	*	*	2	5	5	MC	1	0
Th	1	383.114709305	226324238.361	1.2911884280	4.5274045100	5f.6d.7s2	1G*	4			3	9	7	MC	1	0
Th	1	383.186027943	23909426.5618	0.0000000000	3.2356137560	6d2.7s2	3F	2	*	*	3	5	7	MC	1	0
Th	1	383.762743767	125101635.614	0.9301651190	4.1609164200	6d3.(4F).7s	5F	3	*	*	4	7	9	MC	1	0
Th	1	383.767337962	48001252.9336	0.6151672932	3.8458799200	6d2.7s2	3F	4	*	*	4	9	9	MC	1	0
Th	1	383.896367508	120770418.51	0.3557427977	3.5853695600	6d2.7s2	3F	3	*	*	2	7	5	MC	1	0
Th	1	384.188972587	73671385.3463	0.6151672932	3.8423343200	6d2.7s2	3F	4	*	*	3	9	7	MC	1	0
Th	1	384.398664113	426407400.813	1.3882549450	4.6136615300	5f.6d.7s2	3H*	5			5	11	11	MC	1	0
Th	1	385.322756442	50552102.7318	0.4572521355	3.6749234600	6d2.7s2		2	*	*	1	5	3	MC	1	0
Th	1	387.492022862	168602069.093	0.3557427977	3.5554008800	6d2.7s2	3F	3	*	*	3	7	7	MC	1	0
Th	1	387.596009927	204941420.622	0.6151672932	3.8139669500	6d2.7s2	3F	4	*	*	3	9	7	MC	1	0
Th	1	387.647130233	800783662.527	1.2911884280	4.4895662400	5f.6d.7s2	1G*	4			5	9	11	MC	1	0
Th	1	387.674452344	46930374.3751	0.9301651190	4.1283175300	6d3.(4F).7s	5F	3	*	*	2	7	5	MC	1	0
Th	1	388.074354439	233646064.509	0.9301651190	4.1250219000	6d3.(4F).7s	5F	3	*	*	4	7	9	MC	1	0
Th	1	388.801727806	44558638.4677	0.3557427977	3.5446226120	6d2.7s2	3F	3	*	*	3	7	7	MC	1	0
Th	1	388.812088504	374894350.219	1.2911884280	4.4799832700	5f.6d.7s2	1G*	4			5	9	11	MC	1	0
Th	1	389.282856086	129675434.199	1.3882549450	4.5731935100	5f.6d.7s2	3H*	5			4	11	9	MC	1	0
Th	1	389.652265288	599837849.511	0.9664909590	4.1484100500	5f.6d.7s2	3H*	4	5f.6d.7s.7p	3H	4	9	9	MC	1	0
Th	1	389.954175919	21895818.3746	0.3557427977	3.5351983800	6d2.7s2	3F	3	*	*	2	7	5	MC	1	0
Th	1	389.961413804	162684028.201	1.3937969360	4.5731935100	5f.6d.7s2	3F*	3			4	7	9	MC	1	0
Th	1	390.168158654	127904113.313	1.0910919079	4.2688037600	6d3.(4F).7s	5F	4	*	*	3	9	7	MC	1	0
Th	1	390.420787459	192009369.157	0.9664909590	4.1421466200	5f.6d.7s2	3H*	4			3	9	7	MC	1	0
Th	1	390.985638610	228594962.768	1.3937969360	4.5648647700	5f.6d.7s2	3F*	3			2	7	5	MC	1	0
Th	1	391.024601761	163674113.013	1.5019899800	4.6727418400	5f.6d.7s2	1D*	2			3	5	7	MC	1	0
Th	1	391.301680952	65669655.108	0.6151672932	3.7836739600	6d2.7s2	3F	4	*	*	4	9	9	MC	1	0
Th	1	391.419012524	502463275.255	1.4383444490	4.6059013200	6d3.(4P).7s	5P	1	*	*	2	3	5	MC	1	0
Th	1	391.752658465	9470308.93706	0.0000000000	3.1648591400	6d2.7s2	3F	2	*	*	1	5	3	MC	1	0
Th	1	391.837875671	202850195.735	1.3051251700	4.4692960200	5f.6d.7s2	3G*	3			2	7	5	MC	1	0
Th	1	392.013312390	58720044.5382	0.4572521355	3.6200069300	6d2.7s2		2	*	*	1	5	3	MC	1	0
Th	1	392.491047900	11768700.1237	0.3557427977	3.5146479210	6d2.7s2	3F	3	*	*	2	7	5	MC	1	0
Th	1	392.620466632	74035893.1556	0.4572521355	3.6151159980	6d2.7s2		2	*	*	3	5	7	MC	1	0
Th	1	393.402448479	332440544.708	0.9664909590	4.1180778060	5f.6d.7s2	3H*	4	5f.6d.7s.7p	3I	5	9	11	MC	1	0
