test_id,height_um,line_id,center_nm,relative_strength,role,status,applied_center_nm,area,area_sigma,snr,area_fraction,height,center_height,peak_offset_nm,centroid_offset_nm,fwhm_nm,top_flatness,noise,line_relative
989,0.0,K_I_693.8764,693.876396,0.00655092165605007,weak_anchor,low_snr,693.8494161371891,3.55084821843147,2.0030003476065117,1.7727646541222828,0.0002571344527096352,9.252761699765642,8.867956576312086,-0.08274947048835202,-0.002465953016435455,0.3666666666663332,0.05789894407997135,7.757586988734742,0.3676653234981596
989,0.0,K_I_766.4899,766.48991,1.0,strong_resonance,detected,766.462930137189,245.58700868452283,1.3746779256942525,178.6505799607528,0.017784167946943732,508.29240643408593,503.3034954570253,-0.02959680388767083,0.009255236474519063,0.3999999999996362,0.11856383030332224,5.324104712617639,0.8834208356498339
989,0.0,K_I_769.8964,769.89645,0.4984931955549362,weak_resonance,detected,769.869470137189,155.06104415216225,0.9252908371537211,167.58087071211486,0.011228735860262545,392.89210693435575,392.33178932494604,-0.002803470557410037,-0.007242552494205207,0.3666666666663332,0.11201315756607239,3.58363600269794,0.7963914734135195
990,100.0,K_I_693.8764,693.876396,0.00655092165605007,weak_anchor,detected,693.8502910893059,9.693942949420308,1.2460118092059247,7.779976784969795,0.0006525510255472012,26.626669038676937,26.231072280838344,0.016375577394796892,-0.07618863931326607,0.29999999999972715,0.15433449378792657,4.8257829862367085,0.9330542110504096
990,100.0,K_I_766.4899,766.48991,1.0,strong_resonance,detected,766.4638050893059,276.4799465812699,1.5730852078248085,175.7564976175537,0.018611340465505003,598.3306096058427,593.6474224999714,-0.03047175600454466,-0.00238683149372719,0.3666666666663332,0.13038220926347746,6.092532812076257,0.9245102720380882
990,100.0,K_I_769.8964,769.89645,0.4984931955549362,weak_resonance,detected,769.8703450893058,193.56485202824481,4.952321319637651,39.085681145262896,0.01302988302695517,466.3954389482951,465.79346956558095,-0.0036784226742838655,0.019103074592964016,0.3666666666663332,0.13312466928185696,19.180257996042005,0.9241367747339644
991,200.0,K_I_693.8764,693.876396,0.00655092165605007,weak_anchor,detected,693.8502910893059,16.55119836416316,0.6971523515350777,23.741149732506315,0.0009877289197686152,36.73874163061498,36.58148127626418,0.016375577394796892,-0.04673250900874076,0.26666666666642413,0.23514274800183077,2.7000594472671504,1.4123104429934206
991,200.0,K_I_766.4899,766.48991,1.0,strong_resonance,detected,766.4638050893059,291.4243730701322,1.487703760566787,195.88871171442426,0.017391386102293353,533.6338106518447,533.2715462282503,0.002861577328758358,-0.0009018042441362664,0.46666666666624224,0.06525891144304717,5.761851888770553,0.8639095677364675
991,200.0,K_I_769.8964,769.89645,0.4984931955549362,weak_resonance,detected,769.8703450893058,207.28948808293723,0.6778110997458535,305.8219143366947,0.012370453041446641,466.272847962382,465.5079153926335,-0.0036784226742838655,0.011575953445897133,0.3666666666663332,0.09837747433675043,2.6251511011926123,0.8773670916362704
992,300.0,K_I_693.8764,693.876396,0.00655092165605007,weak_anchor,detected,693.8504111356457,17.363273483580397,0.5681603884317773,30.56051396245009,0.0008770103059900241,42.81048971046073,42.34816147575585,0.016255531054980565,0.03236407664491213,0.23333333333312112,0.20540368004946746,2.200475722373012,1.2539987328230935
992,300.0,K_I_766.4899,766.48991,1.0,strong_resonance,detected,766.4639251356457,401.98430219876644,1.3866138738097409,289.9035627664023,0.02030402712990212,857.1004546905014,842.2916201572228,-0.030591802344360985,0.009017240510573789,0.3999999999996362,0.10845546032629025,5.370332440890163,1.0085937485333725
992,300.0,K_I_769.8964,769.89645,0.4984931955549362,weak_resonance,detected,769.8704651356456,280.08300374091465,3.2050589569630175,87.38778521762664,0.014146853186739836,699.9144696636381,699.3094176637239,-0.003798469014100192,0.008549621767271158,0.33333333333303017,0.14205153687646876,12.41313996394197,1.0033572250482214
993,400.0,K_I_693.8764,693.876396,0.00655092165605007,weak_anchor,detected,693.8508674929202,12.738684954511935,1.1623844657750393,10.95909772505279,0.000742302741186403,22.47429916814906,22.135521953376358,-0.01753415955283799,-0.005577113273267177,0.33333333333303017,0.11238392021269596,4.501895677841027,1.0613862693073601
993,400.0,K_I_766.4899,766.48991,1.0,strong_resonance,detected,766.4643814929202,349.72754535763204,2.221295121444903,157.44307993173913,0.02037916131173437,677.8204733525226,671.2576097497413,-0.031048159618876525,-0.004331010995981195,0.4333333333329392,0.09585616394422371,8.603039012375715,1.0123260064550326
993,400.0,K_I_769.8964,769.89645,0.4984931955549362,weak_resonance,detected,769.8709214929202,243.06093136027457,1.454310797546344,167.13135305765275,0.01416353385520748,602.0949631656088,602.0610043187642,-0.004254826288615732,0.015962242258733092,0.33333333333303017,0.1541048043481109,5.632521499111739,1.0045402916288042
994,500.0,K_I_693.8764,693.876396,0.00655092165605007,weak_anchor,detected,693.8511545130773,11.322185745525324,0.9443335547318068,11.989604402801142,0.0005192648218447835,29.714041086863517,29.42703156730612,0.015512153623376435,0.06456961931161974,0.29999999999972715,0.13855391620487725,3.6573881307444642,0.742474089694876
994,500.0,K_I_766.4899,766.48991,1.0,strong_resonance,detected,766.4646685130773,396.0601424276122,5.084986672025931,77.88813776178813,0.018164345994656838,839.3086345781448,836.8661496701859,-0.031335179775965116,-0.011117091844698694,0.3999999999996362,0.11549331534901738,19.694068696461017,0.9023060154124414
994,500.0,K_I_769.8964,769.89645,0.4984931955549362,weak_resonance,detected,769.8712085130772,269.49108142738334,4.70647784128931,57.25960909943601,0.012359560382716146,686.2159913796213,684.7174423765543,-0.004541846445704323,0.00045471268847635803,0.33333333333303017,0.12198169017084048,18.22811029862431,0.8765945362352239
995,600.0,K_I_693.8764,693.876396,0.00655092165605007,weak_anchor,detected,693.8508674929202,28.422157386014426,1.6141062157171309,17.60860413599656,0.00167831253502659,47.13340407722467,46.81025637912224,0.015799173780465026,0.05838380373458594,0.3666666666663332,0.12911610928566633,6.25140649248801,2.399745792985467
995,600.0,K_I_766.4899,766.48991,1.0,strong_resonance,detected,766.4643814929202,358.4803799412542,1.2664660876444769,283.0556486577531,0.021168066415413953,656.869430172162,656.1698039624514,0.0022851737144264916,0.011854732568270973,0.46666666666624224,0.06271945761694406,4.905002065987983,1.0515145255929663
995,600.0,K_I_769.8964,769.89645,0.4984931955549362,weak_resonance,detected,769.8709214929202,252.3195911678547,1.3619280750526768,185.26645847879703,0.01489933107253043,563.1926429305636,562.2699776837126,-0.004254826288615732,0.00905309475514254,0.3666666666663332,0.1080584976437094,5.274724753416139,1.0567262756371314
996,700.0,K_I_693.8764,693.876396,0.00655092165605007,weak_anchor,detected,693.8509671965683,15.817213134831983,1.1696105641066954,13.523486894043725,0.0008208117522716372,43.494093898334995,42.820568555784966,-0.017633863200899214,0.02795264187835124,0.29999999999972715,0.13402921892691252,4.529882236337613,1.173642875351392
996,700.0,K_I_766.4899,766.48991,1.0,strong_resonance,detected,766.4644811965682,368.6253883676328,1.327319179521479,277.72173720907773,0.019129289614966266,642.8644055827212,642.7706242052387,0.002185470066478956,-0.009955642830338915,0.49999999999954525,0.06932790961178507,5.140685077393055,0.9502391715742525
996,700.0,K_I_769.8964,769.89645,0.4984931955549362,weak_resonance,detected,769.8710211965681,257.02071172416686,2.6171615548360383,98.20590221082813,0.01333772384313627,537.3568106887951,535.876483759457,-0.004354529936563267,-0.0013651829030512533,0.3999999999996362,0.08053507821758975,10.136223116223505,0.9459702032005554
