campaign,file,segment,ok,error,exact,relres,relres_full,delta_px,stretch_ppm,c0,c1,c2,c3,n_ref,windows_used,windows_total,on_model_lo,on_model_hi,n_native,pitch_start,pitch_end,max_window_relres,seconds
hosts/opal/LabData/LIBS/profile_builder/20250328LIBSAuto/2025_04_03_15_04_46,2025_04_03_15_04_46_20250403_030437_PM_AverageSpectrum.csv,UV,1,,1,7.434301508930186e-11,0.0004295704535059497,-0.5010940797965651,63.31934498339272,-0.016703135993218834,5.618906547228971e-06,1.6344862067792317e-09,1.718998763096933e-14,919.9399589359655,13,13,195.4999999999994,358.90000000008035,2092,0.09598484176927968,0.07869460620219115,0.0013281336687862647,46.432281494140625
hosts/opal/LabData/LIBS/profile_builder/20250328LIBSAuto/2025_04_03_15_04_46,2025_04_03_15_04_46_20250403_030437_PM_AverageSpectrum.csv,VIS,1,,1,6.345799669671692e-11,0.0013391984184114173,-1.6014627466010327,100.16557437629501,-0.053382091553367754,1.2940852234248202e-05,2.0399223961574727e-09,7.340074261020934e-15,935.662048746658,13,13,368.0000000000832,616.5000000001025,1986,0.14168268735284073,0.1129315323114497,0.0005214153853972342,46.432312965393066
hosts/opal/LabData/LIBS/profile_builder/20250328LIBSAuto/2025_04_03_15_04_46,2025_04_03_15_04_46_20250403_030437_PM_AverageSpectrum.csv,NIR,1,,1,7.288051080348332e-11,0.0011839125951726153,-1.7415466474009487,223.12523012109952,-0.05805155491336495,4.005257826736355e-05,1.6154119406453006e-09,-8.593095663568543e-14,866.5810912660887,13,13,623.0333333334336,943.8666666664715,1921,0.19832931923679098,0.15627683576963136,0.0013106169364654522,46.43233132362366
hosts/opal/LabData/LIBS/profile_builder/01302025_LIBS,DK_01302025_4wtGO_TM_0.14V_pos1_1_2025_01_30_12_33_31_PM_AverageSpectrum.csv,UV,1,,1,5.491193556050183e-11,0.0006980759502215281,0.7747691276144706,127.29221172432122,0.02582563758714902,1.1295806077220752e-05,-5.521582176071001e-10,-6.258045664975743e-14,919.5663461700353,13,13,195.53333333333273,358.9666666667471,2091,0.09599433705508886,0.0786955360441084,0.0008303436175081762,47.72377133369446
hosts/opal/LabData/LIBS/profile_builder/01302025_LIBS,DK_01302025_4wtGO_TM_0.14V_pos1_1_2025_01_30_12_33_31_PM_AverageSpectrum.csv,VIS,1,,1,6.661162365828343e-11,3.96497876322076e-05,0.9389642307008705,38.17429027237262,0.03129880769002902,4.9319125122391706e-06,-2.7338881504288323e-10,-2.47890499563433e-14,935.662048746658,13,13,368.0000000000832,616.5666666667692,1987,0.14167892076136468,0.11291863234703214,5.8944926617166694e-05,47.72378730773926
hosts/opal/LabData/LIBS/profile_builder/01302025_LIBS,DK_01302025_4wtGO_TM_0.14V_pos1_1_2025_01_30_12_33_31_PM_AverageSpectrum.csv,NIR,1,,1,6.149200343921057e-11,3.268210801354663e-06,1.6373866813192888,143.11563012152155,0.05457955604397629,2.569028152313485e-05,-1.6250373593403735e-09,-1.2825431925195452e-13,866.4887758531573,13,13,623.0333333334336,943.9333333331381,1922,0.19832047444549517,0.15625616186866864,0.0002558376498349578,47.723797082901
hosts/opal/LabData/LIBS/profile_builder/02272025_0.2V_1Hz_60min_LIBS,DK_02272025_10wtGO_TM_0.2V_pos10_1Hz_60min_1_2025_02_27_04_27_39_PM_AverageSpectrum.csv,UV,1,,1,8.41284396009663e-11,0.009473735106026036,-1.0329013196366212,33.13581738577634,-0.034430043987887377,2.9404451563034175e-06,1.7653278856365681e-09,3.202448455674433e-14,919.7531525530004,13,13,195.46666666666607,358.90000000008035,2091,0.09598196095419098,0.07869224432295141,0.0010723642707884146,48.82367992401123
hosts/opal/LabData/LIBS/profile_builder/02272025_0.2V_1Hz_60min_LIBS,DK_02272025_10wtGO_TM_0.2V_pos10_1Hz_60min_1_2025_02_27_04_27_39_PM_AverageSpectrum.csv,VIS,1,,0,1.0542860055395043e-06,0.0005224188094723619,1.7206547264248477,12.580916762791894,0.05735515754749492,1.6253866242212246e-06,-9.557129315539519e-11,5.325484389831414e-16,935.662048746658,13,13,368.0000000000832,616.6000000001025,1987,0.14167534809240578,0.11291577519568818,0.0006625388529900145,48.82372164726257
hosts/opal/LabData/LIBS/profile_builder/02272025_0.2V_1Hz_60min_LIBS,DK_02272025_10wtGO_TM_0.2V_pos10_1Hz_60min_1_2025_02_27_04_27_39_PM_AverageSpectrum.csv,NIR,1,,1,5.998743260581022e-11,0.00029503708411825305,4.005868405690599,269.6098035087932,0.1335289468563533,4.8396892412496814e-05,-3.061650919436655e-09,-2.4162187932951826e-13,866.7657220919516,13,13,623.0333333334336,944.0,1921,0.1983454155315485,0.15627581288219972,0.0017992521513409965,48.82374167442322
hosts/opal/LabData/LIBS/profile_builder/02122025_LIBS_0.120V_500Hz_10GOTM,DK_02122025_10wtGO_TM_0.124V_pos10_500Hz_30min_2_2025_02_12_06_07_31_PM_AverageSpectrum.csv,UV,1,,1,7.884020078794794e-11,0.008137108905696895,0.9779815673149624,93.52996556698535,0.032599385577165414,8.299772147426206e-06,-4.0570697391565856e-10,-4.5982000088235244e-14,919.5663461700353,13,13,195.53333333333273,358.9666666667471,2091,0.0959911138856171,0.07869289371069499,0.002873890320225823,49.86042857170105
