campaign,file,segment,ok,error,exact,relres,relres_full,delta_px,stretch_ppm,c0,c1,c2,c3,n_ref,windows_used,windows_total,on_model_lo,on_model_hi,n_native,pitch_start,pitch_end,max_window_relres,seconds
hosts/opal/LabData/LIBS/raw/z300-sd/03c6e1c722db70bc168df33b63f51e0c65b0b70a3afac20fb3c4b0e25be5096c/payload,Shot(88).csv,UV,1,,1,4.166598525476998e-12,4.874526444251943e-12,-1.6263697628869103,20.499546064772183,-0.054212325429563675,1.8191128418776415e-06,8.83049118443989e-09,-3.36771223192561e-11,918.6323501904089,5,13,195.4999999999994,358.80000000001985,2092,0.09588262276650994,0.07859861505960453,1.4189283156452025e-15,27.164918661117554
hosts/opal/LabData/LIBS/raw/z300-sd/03c6e1c722db70bc168df33b63f51e0c65b0b70a3afac20fb3c4b0e25be5096c/payload,Shot(88).csv,VIS,1,,0,0.00010301683585808461,0.00010306421213101736,-1.3968963269298207,141.3562196941558,-0.04656321089766069,1.826246155771965e-05,1.7417388570063266e-09,-1.9181058788895546e-13,935.4054798919528,13,13,368.0000000000207,616.5000000000781,1986,0.14168804534330093,0.1129355975604085,0.001102351098116945,27.16499662399292
hosts/opal/LabData/LIBS/raw/z300-sd/03c6e1c722db70bc168df33b63f51e0c65b0b70a3afac20fb3c4b0e25be5096c/payload,Shot(88).csv,NIR,1,,1,6.023615360305988e-11,2.441745653432752e-05,3.6748045055318554,325.0801567045191,0.12249348351772851,5.8354218447227555e-05,-3.6916882589984483e-09,-2.9133736896187107e-13,866.8580375057923,13,13,623.1000000000787,944.0000000001526,1920,0.19835635303695653,0.1562844305129829,0.0024873008392479745,27.165021657943726
hosts/opal/LabData/LIBS/raw/z300-sd/109d7bc3010741a39b1c7dde7e0ef09258048669c55a6f984e4b115d605e1173/payload,Shot(56).csv,UV,1,,1,2.1849279476314415e-12,3.4028051304165206e-12,-3.058890197328588,-1244.458454210963,-0.1019630065776196,-0.00011043221874696277,4.830565813364003e-08,9.04417706355559e-11,918.6323501904089,6,13,195.4999999999994,358.80000000001985,2091,0.09601176900747532,0.07896175830694574,1.3666106247660611e-15,32.43402171134949
hosts/opal/LabData/LIBS/raw/z300-sd/109d7bc3010741a39b1c7dde7e0ef09258048669c55a6f984e4b115d605e1173/payload,Shot(56).csv,VIS,1,,0,0.0001471602063369865,0.0001536965539658094,-1.605081950095969,148.47401487310626,-0.05350273166986563,1.9182042324045693e-05,1.7185694671273162e-09,-3.513491170530445e-13,935.4054798919528,13,13,368.0000000000207,610.0,1986,0.1416885899133149,0.11293595637755516,0.0008916746502347334,32.434086322784424
hosts/opal/LabData/LIBS/raw/z300-sd/109d7bc3010741a39b1c7dde7e0ef09258048669c55a6f984e4b115d605e1173/payload,Shot(56).csv,NIR,1,,0,9.042587043968252e-05,8.871138233366535e-05,-1.2804147295003514,297.2307142184844,-0.042680490983345046,5.335504388382678e-05,6.152025560696074e-10,5.5708758530686004e-14,866.8580375057923,13,13,642.0,943.8000000001525,1921,0.19834467269720335,0.15628861385096116,0.0022573852363306575,32.43410897254944
hosts/opal/LabData/LIBS/raw/z300-sd/0cc616953cdd6a4661f5a382601f97df71dd7e842f2fd9951def68e648fc38cc/payload,Shot(156).csv,UV,1,,1,4.496561963954017e-12,2.2073039049108408e-12,-1.4877794853283919,-824.2165649873755,-0.04959264951094639,-7.314029945440525e-05,5.534546529231391e-08,6.493598176016368e-11,918.6323501904089,13,13,195.5999999999994,358.9000000000199,2091,0.09597163235505946,0.07893253739479178,1.2995329416511696e-15,33.65790414810181
hosts/opal/LabData/LIBS/raw/z300-sd/0cc616953cdd6a4661f5a382601f97df71dd7e842f2fd9951def68e648fc38cc/payload,Shot(156).csv,VIS,1,,0,1.9132796766829844e-05,1.9135446463343996e-05,-1.396852044926407,140.7486838386165,-0.04656173483088023,1.8183971200303974e-05,1.7520223508413432e-09,-5.862469202600971e-14,935.4054798919528,13,13,368.0000000000207,616.5000000000781,1986,0.14168829685746687,0.11293596845337106,0.0006198707031376761,33.6579430103302
hosts/opal/LabData/LIBS/raw/z300-sd/0cc616953cdd6a4661f5a382601f97df71dd7e842f2fd9951def68e648fc38cc/payload,Shot(156).csv,NIR,1,,1,5.978279089596285e-11,1.6541470474188307e-05,3.6748045055317333,325.08015670460304,0.12249348351772445,5.835421844724261e-05,-3.6916882589549564e-09,-2.913373690299465e-13,866.8580375057923,13,13,623.1000000000787,944.0000000001526,1920,0.19835635303684285,0.1562844305129829,0.0034616089312047103,33.65796375274658
hosts/opal/LabData/LIBS/raw/z300-sd/07228b0ac17874411eaca1aad39041cf3747a644d0e2eab84c4405b9f57bd3ff/payload,Shot(32).csv,UV,1,,1,5.278595355282688e-12,2.904279123717822e-12,-0.287395436501098,-370.14386211080483,-0.009579847883369933,-3.284626160893651e-05,3.156388220028025e-09,2.6699324913849802e-11,918.6323501904089,13,13,195.4999999999994,358.9000000000199,2091,0.09601106262215353,0.07874401173933165,1.3109283278786322e-15,35.58859395980835
